index,text,label
1897,15028,did scomo really just get a ‘lifeline bounce’ in the polls? (answer: no) https://t.co/pttcxcxjd3 https://t.co/pw3moybajs,general
1106,31355,shit tastes like GARBAGE but the trip? beautiful lmao https://t.co/w7JoCKnJ97,general_travel
342,29098,"Winter comes in many guises in Europe – in the north there’s serious snow and sunless weeks, while you’ll find lingering sunshine in the mild Mediterranean. It's an inspiring time to visit grand cities, here is a list with beautiful destinations in Europe: https://t.co/UYFstNdVXo https://t.co/lDN64TX21z",travel
1926,4446,so uk is leaving eu by end of march by default settings...just curious? any deal on the horizon?,general
28,37269,"We shall be going! Adventure Travel Show returns to Olympia London in 2019 https://t.co/5DMc0g3SFn

#travelshow,#travelwriters,#travel",travel
724,1305,Brand new ‘Avengers: Endgame’ leak tells us the Avengers will travel through time https://t.co/gGbos9lcT4 https://t.co/CNZFa449bE,general_travel
2208,2262,"my twitter feed from the beginning:

2014- crypto is a scam!
2015- crypto is a scam!
2016- crypto is a scam!
2017- i'm a professional trader and will be opening a paid group. 
2018- crypto is scam!
2019- crypto is a scam!",general
1934,38106,two year trek through the wilderness... that ain’t it https://t.co/vknof84cje,general
1083,21320,"@kkonchenko Hi, Kirill! We'd like to review your case and see what we can do. Please send us a DM with your trip number (or email + full name). ^AI",general_travel
308,36350,"@vietron don't trip i'll be in Atlanta living my best life then, you'll be more than welcomed to visit",travel
1889,20559,@jxmmers ain't that the norm?,general
428,7389,im going somewhere idk where but nobody else is coming. no one but me would believe in the places i can travel to. they won’t find me where i go. to me that’s finally being alone.,travel
499,8999,"Surprise Trip to NYC for His Birthday! Love You! Happy Birthday theybrokethemold .
.
.
.
.
.
#nyc #welookgood #bestfriends #newyorkcity #newyork #timessquare #citylife #metsfan… https://t.co/BVXx1IAYOe",travel
2200,15794,"@vandalyzm i'm mad i wasted time reading that. ""one of the biggest gaming franchises ever will never grow up if they don't do things like i say."" https://t.co/rxqcuitevq",general
698,38848,@SebGorka @Acosta I guess CNN will write Jimbos wasted trip off as a loss on their tax returns,general_travel
2075,8682,@_heartemis im only saying the truth,general
1161,5904,@claresiobhan guys he probably didn’t propose yet but he’ll probably propose while they’re there and it’s probably something bts related like travelling to see them idk I am probably very wrong lmao that’s just a guess 💘💛,general_travel
1994,15914,this must stop now! #theyoffendme this #totalitarianpoliticalideology is unconstitutional! the democrats support this - the leftist support this! this is not islamaphobia. this is a threat to our #constitutionalrepublic !#wakeupamerica https://t.co/esy6bqjadr,general
541,35224,"Ok, I'm hoping that the #Oilers play in AZ the same week as the #Cardinals have a home game next season. Really want to see @EdmontonOilers and @_Bmitch16 on the same trip.  #DreamVacation",travel
2377,25628,"it’s just a bad day, not a bad life.",general
2489,40309,look me in the eyes and say that #splatoon2 #nintendoswitch https://t.co/7bnipn4vos,general
2421,5631,"@queer_queenie i never understood that idiom

surely you're leaving a pee right?",general
660,10787,"Hey Star Wars fans, looks like you might have to make a trip to one of the Disney theme parks this year! Call me when you're ready. https://t.co/0EZTI3fKqh",general_travel
356,32263,iâ€™m gonna save up money just to make a day trip to wild west gallery ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,travel
295,31449,"@justdrivedrive like maybe take a trip to NC, idk just a thought",travel
343,21282,@DrTashaFerguson @NMIreland @CBL_Dublin Already planning my next trip! I'll add it to the list!,travel
433,17752,After nearly 7 years and over 400 #blogposts my journey in #SecondLife is over! Please read my last story here:  https://t.co/IDLFVl1bPz Thanks to all who were part of my trip!  I'll miss each and every one of you!  Open roads and kind fires! https://t.co/Px5pCtqGTm j,travel
559,34445,Whelp Cross Country Road Trip starts tomorrow...me and my oldest brother going to bury our grandmother...they put off the funeral till Monday....just got the road munchies got the cooler ready...chance for us to bond...like a sappy movie...,travel
1735,2510,"harrison ford's recent movies have been devoted to showing that the iconic characters he played in 1970s/1980s (han solo, indiana jones, rick deckard) were neglectful fathers.",general
184,38497,@suzystories Oh maybe weâ€™ll see you there?! Havenâ€™t made it up to London yet but should do in February before this trip starts ðŸ˜Š,travel
1118,18438,@JazminGarciax Okay! I’m gonna play my money right and that’ll be my next trip. Ily don’t forget about me,general_travel
2168,18783,"@sensanders you should support it bernie, it's the right thing to do and would put you on the right side of history. remember south africa and the likes of thatcher that were against sanctions?",general
745,13951,@SociologyTC @SociologyHT Hahah I was like... sure... But you are filling out the trip pack for that one 😂,general_travel
145,37212,"2019 will be another year of travel, was sort of embarrassingly stuck in Wisconsin last year:
St. Croix, USVI🇻🇮
San Antonio, TX🇺🇸
Nashville, TN🇺🇸
Florence, Verona Italy🇮🇹 
Santorini, Athens Greece🇬🇷 
Brasil 🇧🇷🇧🇷🇧🇷",travel
566,35698,@davidkinnaman I made the shortest trip ever up north and spent the whole day at the ranch and I’m so sorry I didn’t manage to see you… I’ll keep you posted if I make it up again on this trip.,travel
1773,21217,"#pharmercy from the live stream! thanks everyone who voted in my polls and came by!

i haven't drawn pharmercy since the zine! that's just a crime!!

#overwatch #pharah #mercy
@luciepohlcomedy @heyitsjencohn https://t.co/ivcgxfehpa",general
928,10489,@Colinodell21 I’ll fund your trip!,general_travel
195,11430,Tomorrow we are on the road as we make the short trip to @MELKSHAMTOWNFC 3pm KO. The boys will be looking to register vital points so get yourselves along and get behind them once again! #PRFCfamily #inittogether ⚽️ https://t.co/eDSCWBa3SV,travel
2312,30744,https://t.co/v75vsnbzv7 how much rent do you need to charge to make a “good” investment? https://t.co/7sun94cn8v,general
254,38315,i love the idea of traveling but people always push such a jam packed schedule typa travel that i really can’t handle,travel
2161,6807,trump turns his tweets to new topic: bible literacy https://t.co/trl35uchn0,general
191,8456,Can't wait to travel solo for the first time. Would like to know when tho 😅,travel
221,11472,"I can’t remember what a computer screen withOUT a million job applications on it looks like 🙃 but 2019 is about a better me; finding a job I love, earning dollar bills and travelling to… https://t.co/OkDCmW3NUt",travel
401,13517,"Seeking that #MondayMotivation?

A year ago, I made it a priority to #travel. By Dec. 31, I made it to 14 countries on four continents.

The best part? I brought back a number of great stories ... and photos.

I'll do the same in 2019. How about you?

https://t.co/GO4ovtj2Na https://t.co/CuyrCKbvYG",travel
2192,33919,"[#아스트로] the 3rd astro aroha festival [black] poster

#astro #aaf #black https://t.co/ugqvtzhbcc",general
1069,7110,I hope everyone traveling to @UGCevents has a safe trip! Get here safely and let's all have a badass weekend,general_travel
842,23847,"@harryjonas3 @BirdGuides Elsewhere in the village they travel mob handed, we have just the one, much to Mrs Raw's disappointment.",general_travel
2277,34789,hey important psa: go get tested for stds it’s really normal to get tested and if u happen to catch somthing get it treated and let your past and present sexual partners know having safe sex is very important!!!,general
1837,9365,honored to have received an offer from the university of miami! thanks coach @coach_mannydiaz @butchbarry @canesfootball  @coach_willey_fb @missionae @juleshindman 🙌🙌 https://t.co/3tvtdnnjxv,general
1862,33055,@cernovich the lack of christianity is what has gotten this country where it is. the lack of discipline and self control has gotten this country where it is. the “if it feels good do it” and the “ if you correct your child we will take them away from you “ has done this!,general
558,13828,"@ChickenMan3010 found a few pics of our KC/Det road trip, right after you hit 3,000. I’ll never forget you introducing me to George Brett in the dugout.  He was so nice and gracious. Love the pic of Carlos (dink) crossing the street. Lol. Cursi was grea",travel
2081,19646,"celtics are not a “top target” for anthony davis, growing belief kyrie might not re-sign, per @chrisbhaynes https://t.co/6zgyy1n0ch",general
159,28826,"I'd love to travel alone, more and more it feels like my only option for places I'd to se (Ahem, Vegas) but no one else except me thinks this is a good idea.",travel
84,15922,Charging all the things because I have to travel tomorrow #slavetoelectricity,travel
1123,7264,"@IssitaMarie @ANA_travel_info @united @Delta Thankfully @Delta flies out of @SBNairport, which is my home airport. Iâ€™ll be flying with them in the future, whenever possible.",general_travel
944,10842,"CNN Travel's 20 places to visit in 2019: #8 Normandy, France: #travel #nature #photography #love #photooftheday #instagood #picoftheday #beautiful #like #landscape #art #sky #photo #follow #sunset #fashion #instagram #travelphotography #food #life #happy #adventure https://t.co/uRLMl3WfcF",general_travel
543,27785,"this time next year, i will be confirming travel details for a europe trip with the boys with the money i will be saving. i know it.",travel
450,34908,@SouthernerSays @WanderFullBlog @traveling1223 I would love to road trip throughout all of Canada. It would be beautiful. #RoadTripChat,travel
