,index,text,label,tokens
310,17040,Greatly agree that we have a travel support chanting back to us from the new stall,travel,"['agree', 'great', 'to', 'have', 'travelling', 'support', 'chanting', 'back', 'at', 'us', 'from', 'the', 'new', 'stand']"
209,31281,I d have significant conversations I prefer to have travel adventures in the world I D prefer big meals and lots of laughs I prefer to take care of and care for friends I prefer to be a clean house w Peace and quiet I love to lend a bigger factor than me,travel,"['rather', 'have', 'meaningful', 'conversations', 'rather', 'have', 'adventures', 'and', 'travel', 'the', 'world', 'rather', 'have', 'great', 'meals', 'and', 'lots', 'of', 'laughs', 'rather', 'care', 'for', 'and', 'nurture', 'friends', 'rather', 'have', 'clean', 'house', 'peace', 'and', 'quiet', 'love', 'to', 'lend', 'to', 'causes', 'bigger', 'than', 'myself']"
387,32658,"Lol it's all road trip i think i will be inventing time later, but that's not how time works",travel,"['lol', 'this', 'is', 'me', 'every', 'road', 'trip', 'think', 'll', 'make', 'up', 'time', 'later', 'but', 'that', 'not', 'how', 'time', 'works']"
383,25790,Miami Let Me Sit Here Really A Fast Ride Super Fun And Tasty Sun Pretty People Yeah I'm traveling from every month and will get paid to go so join me,travel,"['miami', 'let', 'me', 'sit', 'this', 'right', 'here', 'quick', 'trip', 'super', 'fun', 'yummy', 'sun', 'beautiful', 'people', 'yes', 'traveling', 'every', 'month', 'and', 'will', 'be', 'getting', 'paid', 'to', 'go', 'so', 'join', 'me']"
312,15751,It feels surreal as I feel like it means I got a second chance to go on my dream journey and I have to go this time just as I have to say money is not a problem and I have to go on this trip I'm crazy or Unnamed: nah,travel,"['this', 'feels', 'surreal', 'like', 'feel', 'like', 'it', 'means', 'was', 'given', 'second', 'chance', 'to', 'go', 'on', 'my', 'dream', 'trip', 'have', 'to', 'go', 'this', 'time', 'right', 'like', 'need', 'to', 'say', 'money', 'isn', 'an', 'issue', 'and', 'need', 'to', 'go', 'on', 'this', 'trip', 'am', 'crazy', 'or', 'nah']"
424,745,Back home Weekends Morocco Weekend My first trip has amp to a beautiful country in a beautiful country and enjoyed learning about its complex history and the amp mainly made activities in the city direction not geology or paleontology this time but very open to return to those,travel,"['back', 'home', 'from', 'week', 'vacation', 'to', 'morocco', 'my', 'first', 'trip', 'there', 'amp', 'to', 'africa', 'lovely', 'country', 'thoroughly', 'enjoyed', 'learning', 'about', 'its', 'complex', 'history', 'amp', 'culture', 'mostly', 'did', 'city', 'oriented', 'activities', 'no', 'geology', 'or', 'paleontology', 'this', 'time', 'but', 'very', 'much', 'open', 'to', 'going', 'back', 'for', 'those']"
203,39160,I have it I will not be abuja and sure I will drive down,travel,"['have', 'it', 'will', 'not', 'be', 'in', 'abuja', 'and', 'not', 'sure', 'will', 'travel', 'down']"
351,11066,The goal to travel before or after birthday I m going to take care of myself,travel,"['goal', 'to', 'travel', 'before', 'or', 'after', 'mah', 'birthday', 'gonna', 'treat', 'myself']"
255,13115,I looked at it and think how beautiful it must have been to be able to travel so quietly and stress free on both foot and bike,travel,"['was', 'looking', 'at', 'this', 'thinking', 'how', 'lovely', 'it', 'must', 'have', 'been', 'to', 'be', 'able', 'to', 'travel', 'so', 'quietly', 'and', 'stress', 'free', 'both', 'on', 'bike', 'and', 'on', 'foot']"
80,23088,Probably need to drive to borchester or the felpersham bounce is somewhat uneven in the cricket barn thearchers,travel,"['probably', 'have', 'to', 'travel', 'to', 'borchester', 'or', 'felpersham', 'the', 'bounce', 'is', 'little', 'uneven', 'in', 'the', 'barn', 'thearchers', 'cricketnets']"
